['From', 'NULL']
['collapse', 'NULL']
['of', 'NULL']
['Communism', 'NULL']
[' ', 'NULL']
['the', 'NULL']
[' ', 'NULL']
['th', 'NULL']
['century', 'NULL']
['s', 'NULL']
['premier', 'NULL']
['secular', 'NULL']
['messianic', 'NULL']
['movement', 'NULL']
[' ', 'NULL']
['the', 'NULL']
['failure', 'NULL']
['of', 'NULL']
['the', 'NULL']
['Israeli', 'NULL']
['kibbutz', 'NULL']
['movement', 'NULL']
[' ', 'NULL']
['the', 'NULL']
['rush', 'NULL']
['to', 'NULL']
['proclaim', 'NULL']
['Menachem', 'NULL']
['Schneerson', 'NULL']
['the', 'NULL']
['Messiah', 'NULL']
[' ', 'NULL']
['the', 'NULL']
['rise', 'NULL']
['of', 'NULL']
['Kahanism', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['an', 'NULL']
['unceasing', 'NULL']
['succession', 'NULL']
['of', 'NULL']
['blunders', 'NULL']
['by', 'NULL']
['the', 'NULL']
['Israeli', 'NULL']
['government', 'NULL']
['starting', 'NULL']
['in', 'NULL']
['the', 'NULL']
['  ', 'NULL']
['war', 'NULL']
['and', 'NULL']
['continuing', 'NULL']
['most', 'NULL']
['recently', 'NULL']
['in', 'NULL']
['the', 'NULL']
['Demjanjuk', 'NULL']
['fiasco', 'NULL']
['have', 'NULL']
['all', 'NULL']
['combined', 'NULL']
['to', 'NULL']
['lead', 'NULL']
['me', 'NULL']
['to', 'NULL']
['the', 'NULL']
['conclusion', 'NULL']
['that', 'NULL']
['something', 'NULL']
['is', 'NULL']
['so', 'NULL']
['seriously', 'NULL']
['awry', 'NULL']
['with', 'NULL']
['the', 'NULL']
['Zionist', 'NORP']
['experiment', 'NULL']
['that', 'NULL']
['it', 'NULL']
['does', 'NULL']
['in', 'NULL']
['fact', 'NULL']
['exhibit', 'NULL']
['all', 'NULL']
['the', 'NULL']
['traits', 'NULL']
['of', 'NULL']
['previous', 'NULL']
['failed', 'NULL']
['messianic', 'NULL']
['movements', 'NULL']
['in', 'NULL']
['Jewish', 'NORP']
['history', 'NULL']
['What', 'NULL']
['really', 'NULL']
['confirmed', 'NULL']
['me', 'NULL']
['in', 'NULL']
['this', 'NULL']
['conviction', 'NULL']
['was', 'NULL']
['reading', 'NULL']
['five', 'NULL']
['books', 'NULL']
['one', 'NULL']
['after', 'NULL']
['the', 'NULL']
['other', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['digesting', 'NULL']
['all', 'NULL']
['the', 'NULL']
['information', 'NULL']
['interactively', 'NULL']
['and', 'NULL']
['seeing', 'NULL']
['all', 'NULL']
['the', 'NULL']
['implications', 'NULL']
['Golan', 'NULL']
[' ', 'NULL']
['Matti', 'NULL']
[' ', 'NULL']
['With', 'NULL']
['Friends', 'NULL']
['Like', 'NULL']
['You', 'NULL']
[' ', 'NULL']
['What', 'NULL']
['Israelis', 'NULL']
['Really', 'NULL']
['Think', 'NULL']
['About', 'NULL']
['American', 'NULL']
['Jews', 'NORP']
[' ', 'NULL']
['New', 'NULL']
['York', 'NULL']
[' ', 'NULL']
['The', 'NULL']
['Free', 'NULL']
['Press', 'NULL']
['   ', 'NULL']
['Translated', 'NULL']
['from', 'NULL']
['the', 'NULL']
['Hebrew', 'NULL']
['by', 'NULL']
['Hillel', 'NULL']
['Halkin', 'NULL']
['Leibowitz', 'NULL']
[' ', 'NULL']
['Yeshayahu', 'NULL']
[' ', 'NULL']
['Judaism', 'NORP']
[' ', 'NULL']
['Human', 'NULL']
['Values', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['the', 'NULL']
['Jewish', 'NORP']
['State', 'NULL']
[' ', 'NULL']
['Cambridge', 'NULL']
[' ', 'NULL']
['MA', 'NULL']
[' ', 'NULL']
['Harvard', 'NULL']
['University', 'NULL']
['Press', 'NULL']
['  ', 'NULL']
['Roth', 'NULL']
[' ', 'NULL']
['Philip', 'NULL']
[' ', 'NULL']
['Operation', 'NULL']
['Shylock', 'NULL']
[' ', 'NULL']
['A', 'NULL']
['Confession', 'NULL']
[' ', 'NULL']
['New', 'NULL']
['York', 'NULL']
[' ', 'NULL']
['Simon', 'NULL']
['  ', 'NULL']
['Schuster', 'NULL']
['  ', 'NULL']
['Segev', 'NULL']
[' ', 'NULL']
['Tom', 'NULL']
[' ', 'NULL']
['The', 'NULL']
['Seventh', 'NULL']
['Million', 'NULL']
[' ', 'NULL']
['The', 'NULL']
['Israelis', 'NULL']
['and', 'NULL']
['The', 'NULL']
['Holocaust', 'NULL']
[' ', 'NULL']
['New', 'NULL']
['York', 'NULL']
[' ', 'NULL']
['Hill', 'NULL']
['and', 'NULL']
['Wang', 'NULL']
['  ', 'NULL']
['Sicker', 'NULL']
[' ', 'NULL']
['Martin', 'NULL']
[' ', 'NULL']
['Judaism', 'NORP']
[' ', 'NULL']
['Nationalism', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['the', 'NULL']
['Land', 'NULL']
['of', 'NULL']
['Israel', 'NULL']
[' ', 'NULL']
['Boulder', 'NULL']
[' ', 'NULL']
['CO', 'NULL']
[' ', 'NULL']
['Westview', 'NULL']
['Press', 'NULL']
['  ', 'NULL']
['Earlier', 'NULL']
['here', 'NULL']
['I', 'NULL']
['tried', 'NULL']
['to', 'NULL']
['stimulate', 'NULL']
[' ', 'NULL']
['without', 'NULL']
['success', 'NULL']
[' ', 'NULL']
['some', 'NULL']
['serious', 'NULL']
['discussion', 'NULL']
['about', 'NULL']
['four', 'NULL']
['of', 'NULL']
['the', 'NULL']
['books', 'NULL']
[' ', 'NULL']
['If', 'NULL']
['you', 'NULL']
['want', 'NULL']
['to', 'NULL']
['get', 'NULL']
['an', 'NULL']
['idea', 'NULL']
['of', 'NULL']
['how', 'NULL']
['I', 'NULL']
['reached', 'NULL']
['my', 'NULL']
['conclusions', 'NULL']
[' ', 'NULL']
['try', 'NULL']
['reading', 'NULL']
['them', 'NULL']
['and', 'NULL']
['do', 'NULL']
['some', 'NULL']
['creative', 'NULL']
['thinking', 'NULL']
['about', 'NULL']
['what', 'NULL']
['you', 'NULL']
['ve', 'NULL']
['read', 'NULL']
[' ', 'NULL']
['Attached', 'NULL']
['below', 'NULL']
['the', 'NULL']
['post', 'NULL']
['is', 'NULL']
['a', 'NULL']
['longer', 'NULL']
['list', 'NULL']
['of', 'NULL']
['books', 'NULL']
['which', 'NULL']
['collectively', 'NULL']
['provide', 'NULL']
['an', 'NULL']
['articulate', 'NULL']
['explanation', 'NULL']
['of', 'NULL']
['why', 'NULL']
['Zionism', 'NORP']
['s', 'NULL']
['future', 'NULL']
['is', 'NULL']
['bleak', 'NULL']
['indeed', 'NULL']
['If', 'NULL']
['you', 'NULL']
['want', 'NULL']
['the', 'NULL']
['really', 'NULL']
['short', 'NULL']
['course', 'NULL']
[' ', 'NULL']
['just', 'NULL']
['read', 'NULL']
['the', 'NULL']
['Martin', 'NULL']
['Sicker', 'NULL']
['book', 'NULL']
[' ', 'NULL']
['Surveying', 'NULL']
['thousands', 'NULL']
['of', 'NULL']
['years', 'NULL']
['of', 'NULL']
['failed', 'NULL']
['messianism', 'NULL']
['in', 'NULL']
['a', 'NULL']
['few', 'NULL']
['hundred', 'NULL']
['pages', 'NULL']
['is', 'NULL']
['a', 'NULL']
['real', 'NULL']
['education', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['puts', 'NULL']
['mere', 'NULL']
['decades', 'NULL']
['of', 'NULL']
['Zionism', 'NORP']
['into', 'NULL']
['perspective', 'NULL']
['I', 'NULL']
['can', 'NULL']
['imagine', 'NULL']
['the', 'NULL']
['howls', 'NULL']
['of', 'NULL']
['outrage', 'NULL']
['or', 'NULL']
['mirth', 'NULL']
['the', 'NULL']
['assertion', 'NULL']
['that', 'NULL']
['Zionism', 'NORP']
['is', 'NULL']
['defunct', 'NULL']
['will', 'NULL']
['arouse', 'NULL']
[' ', 'NULL']
['but', 'NULL']
['that', 'NULL']
['is', 'NULL']
['entirely', 'NULL']
['predictable', 'NULL']
['and', 'NULL']
['not', 'NULL']
['interesting', 'NULL']
[' ', 'NULL']
['I', 'NULL']
['am', 'NULL']
['not', 'NULL']
['particularly', 'NULL']
['motivated', 'NULL']
['to', 'NULL']
['debate', 'NULL']
['the', 'NULL']
['subject', 'NULL']
['one', 'NULL']
['way', 'NULL']
['or', 'NULL']
['the', 'NULL']
['other', 'NULL']
[' ', 'NULL']
['although', 'NULL']
['I', 'NULL']
['will', 'NULL']
['read', 'NULL']
['with', 'NULL']
['curiosity', 'NULL']
['valuable', 'NULL']
['insights', 'NULL']
[' ', 'NULL']
['as', 'NULL']
['opposed', 'NULL']
['to', 'NULL']
['polemics', 'NULL']
[' ', 'NULL']
['anyone', 'NULL']
['might', 'NULL']
['contribute', 'NULL']
['to', 'NULL']
['my', 'NULL']
[' ', 'NULL']
['ahem', 'NULL']
[' ', 'NULL']
['prophetic', 'NULL']
[' ', 'NULL']
['shall', 'NULL']
['we', 'NULL']
['even', 'NULL']
['say', 'NULL']
[' ', 'NULL']
['messianic', 'NULL']
['pronouncement', 'NULL']
[' ', 'NULL']
['For', 'NULL']
['me', 'NULL']
[' ', 'NULL']
['the', 'NULL']
['essential', 'NULL']
['debate', 'NULL']
['is', 'NULL']
['over', 'NULL']
[' ', 'NULL']
['All', 'NULL']
['the', 'NULL']
['angry', 'NULL']
['back', 'NULL']
['and', 'NULL']
['forth', 'NULL']
['that', 'NULL']
['is', 'NULL']
['going', 'NULL']
['on', 'NULL']
['here', 'NULL']
['and', 'NULL']
['elsewhere', 'NULL']
['about', 'NULL']
['who', 'NULL']
['is', 'NULL']
['right', 'NULL']
['and', 'NULL']
['wrong', 'NULL']
['concerning', 'NULL']
['this', 'NULL']
['and', 'NULL']
['that', 'NULL']
['incident', 'NULL']
['between', 'NULL']
['Israel', 'NULL']
['and', 'NULL']
['its', 'NULL']
['neighbors', 'NULL']
['is', 'NULL']
['just', 'NULL']
['so', 'NULL']
['much', 'NULL']
['noise', 'NULL']
['and', 'NULL']
['is', 'NULL']
['missing', 'NULL']
['the', 'NULL']
['big', 'NULL']
['picture', 'NULL']
[' ', 'NULL']
['Trying', 'NULL']
['to', 'NULL']
['figure', 'NULL']
['out', 'NULL']
['what', 'NULL']
['is', 'NULL']
['going', 'NULL']
['on', 'NULL']
['in', 'NULL']
['the', 'NULL']
['Mideast', 'NULL']
['and', 'NULL']
['the', 'NULL']
['Israel', 'NULL']
['Arab', 'NULL']
['conflict', 'NULL']
['was', 'NULL']
['for', 'NULL']
['me', 'NULL']
['an', 'NULL']
['exercise', 'NULL']
['in', 'NULL']
['solving', 'NULL']
['a', 'NULL']
['knotty', 'NULL']
['and', 'NULL']
['fascinating', 'NULL']
['intellectual', 'NULL']
['problem', 'NULL']
[' ', 'NULL']
['Once', 'NULL']
['the', 'NULL']
['problem', 'NULL']
['is', 'NULL']
['figured', 'NULL']
['out', 'NULL']
[' ', 'NULL']
['it', 'NULL']
['no', 'NULL']
['longer', 'NULL']
['excites', 'NULL']
['one', 'NULL']
['s', 'NULL']
['attention', 'NULL']
['[', 'NULL']
['Post', 'NULL']
['to', 'NULL']
['Mary', 'NULL']
['Weiss]I', 'NULL']
['ve', 'NULL']
['radically', 'NULL']
['changed', 'NULL']
['my', 'NULL']
['views', 'NULL']
['about', 'NULL']
['Israel', 'NULL']
['and', 'NULL']
['the', 'NULL']
['Mideast', 'NULL']
['conflict', 'NULL']
['since', 'NULL']
['we', 'NULL']
['last', 'NULL']
['chatted', 'NULL']
[' ', 'NULL']
['Back', 'NULL']
['then', 'NULL']
['I', 'NULL']
['was', 'NULL']
['advocating', 'NULL']
['positions', 'NULL']
[' ', 'NULL']
['with', 'NULL']
['my', 'NULL']
['usual', 'NULL']
['visionary', 'NULL']
['foresight', 'NULL']
[' ', 'NULL']
['that', 'NULL']
['have', 'NULL']
['been', 'NULL']
['adopted', 'NULL']
['by', 'NULL']
['the', 'NULL']
['current', 'NULL']
['Israeli', 'NULL']
['government', 'NULL']
[' ', 'NULL']
['I', 'NULL']
['was', 'NULL']
['slightly', 'NULL']
['ahead', 'NULL']
['of', 'NULL']
['my', 'NULL']
['time', 'NULL']
[' ', 'NULL']
['Now', 'NULL']
['I', 'NULL']
['believe', 'NULL']
['make', 'NULL']
['that', 'NULL']
['KNOW', 'NULL']
['that', 'NULL']
['Zionism', 'NORP']
['may', 'NULL']
['well', 'NULL']
['prove', 'NULL']
['to', 'NULL']
['be', 'NULL']
['the', 'NULL']
['greatest', 'NULL']
['calamity', 'NULL']
['for', 'NULL']
['Jews', 'NORP']
['in', 'NULL']
['world', 'NULL']
['history', 'NULL']
['to', 'NULL']
['date', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['will', 'NULL']
['most', 'NULL']
['certainly', 'NULL']
['fail', 'NULL']
['as', 'NULL']
['a', 'NULL']
['movement', 'NULL']
['and', 'NULL']
['a', 'NULL']
['physical', 'NULL']
['state', 'NULL']
[' ', 'NULL']
['Israel', 'NULL']
['may', 'NULL']
['not', 'NULL']
['even', 'NULL']
['last', 'NULL']
['out', 'NULL']
['the', 'NULL']
['decade', 'NULL']
[' ', 'NULL']
['Jews', 'NORP']
['will', 'NULL']
['come', 'NULL']
['to', 'NULL']
['regret', 'NULL']
['the', 'NULL']
['day', 'NULL']
['that', 'NULL']
['Israel', 'NULL']
['was', 'NULL']
['ever', 'NULL']
['founded', 'NULL']
[' ', 'NULL']
['It', 'NULL']
['doesn', 'NULL']
['t', 'NULL']
['matter', 'NULL']
['what', 'NULL']
['policies', 'NULL']
['Israel', 'NULL']
['adopts', 'NULL']
['left', 'NULL']
[' ', 'NULL']
['right', 'NULL']
[' ', 'NULL']
['center', 'NULL']
[' ', 'NULL']
['whatever', 'NULL']
[' ', 'NULL']
['Jews', 'NORP']
['will', 'NULL']
['be', 'NULL']
['weeping', 'NULL']
['and', 'NULL']
['gnashing', 'NULL']
['their', 'NULL']
['teeth', 'NULL']
['over', 'NULL']
['the', 'NULL']
['fact', 'NULL']
['that', 'NULL']
['they', 'NULL']
['foolishly', 'NULL']
['saddled', 'NULL']
['themselves', 'NULL']
['with', 'NULL']
['the', 'NULL']
['need', 'NULL']
['to', 'NULL']
['support', 'NULL']
['and', 'NULL']
['defend', 'NULL']
['a', 'NULL']
['physical', 'NULL']
['Jewish', 'NORP']
['state', 'NULL']
['in', 'NULL']
['the', 'NULL']
['middle', 'NULL']
['of', 'NULL']
['a', 'NULL']
['region', 'NULL']
['which', 'NULL']
['hates', 'NULL']
['that', 'NULL']
['state', 'NULL']
[' ', 'NULL']
['All', 'NULL']
['the', 'NULL']
['old', 'NULL']
['anti', 'NULL']
['Zionist', 'NORP']
['arguments', 'NULL']
['that', 'NULL']
['Jews', 'NORP']
['themselves', 'NULL']
['hashed', 'NULL']
['over', 'NULL']
['before', 'NULL']
['the', 'NULL']
['founding', 'NULL']
['of', 'NULL']
['Israel', 'NULL']
['are', 'NULL']
['going', 'NULL']
['to', 'NULL']
['come', 'NULL']
['to', 'NULL']
['the', 'NULL']
['surface', 'NULL']
['again', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['the', 'NULL']
['original', 'NULL']
['Jewish', 'NORP']
['anti', 'NULL']
['Zionists', 'NORP']
['are', 'NULL']
['going', 'NULL']
['to', 'NULL']
['look', 'NULL']
['like', 'NULL']
['prophets', 'NULL']
[' ', 'NULL']
['Theodore', 'NULL']
['Herzl', 'NULL']
['will', 'NULL']
['come', 'NULL']
['to', 'NULL']
['be', 'NULL']
['seen', 'NULL']
['as', 'NULL']
['notorious', 'NULL']
['a', 'NULL']
['failed', 'NULL']
['prophet', 'NULL']
['as', 'NULL']
['Karl', 'NULL']
['Marx', 'NULL']
['The', 'NULL']
['reason', 'NULL']
[' ', 'NULL']
['Zionism', 'NORP']
['is', 'NULL']
['a', 'NULL']
['false', 'NULL']
['messianic', 'NULL']
['movement', 'NULL']
[' ', 'NULL']
['a', 'NULL']
['well', 'NULL']
['known', 'NULL']
['phenomenon', 'NULL']
['in', 'NULL']
['Jewish', 'NORP']
['history', 'NULL']
[' ', 'NULL']
['It', 'NULL']
['is', 'NULL']
['built', 'NULL']
['on', 'NULL']
['air', 'NULL']
[' ', 'NULL']
['fantasies', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['intoxication', 'NULL']
[' ', 'NULL']
['not', 'NULL']
['solid', 'NULL']
['ground', 'NULL']
[' ', 'NULL']
['These', 'NULL']
['messianic', 'NULL']
['splurges', 'NULL']
['always', 'NULL']
['end', 'NULL']
['up', 'NULL']
['in', 'NULL']
['catastrophes', 'NULL']
['for', 'NULL']
['Jews', 'NORP']
[' ', 'NULL']
['and', 'NULL']
['Zionism', 'NORP']
['looks', 'NULL']
['like', 'NULL']
['it', 'NULL']
['will', 'NULL']
['be', 'NULL']
['the', 'NULL']
['granddaddy', 'NULL']
['of', 'NULL']
['all', 'NULL']
['these', 'NULL']
['fiascos', 'NULL']
[' ', 'NULL']
['for', 'NULL']
['hundreds', 'NULL']
['of', 'NULL']
['reasons', 'NULL']
['which', 'NULL']
['I', 'NULL']
['could', 'NULL']
['document', 'NULL']
['for', 'NULL']
['you', 'NULL']
['at', 'NULL']
['length', 'NULL']
[' ', 'NULL']
['But', 'NULL']
['you', 'NULL']
['know', 'NULL']
['the', 'NULL']
['main', 'NULL']
['reason', 'NULL']
['yourself', 'NULL']
['if', 'NULL']
['you', 'NULL']
['examine', 'NULL']
['your', 'NULL']
['heart', 'NULL']
[' ', 'NULL']
['ask', 'NULL']
['yourself', 'NULL']
['why', 'NULL']
['you', 'NULL']
['don', 'NULL']
['t', 'NULL']
['live', 'NULL']
['in', 'NULL']
['Israel', 'NULL']
[' ', 'NULL']
['Then', 'NULL']
['you', 'NULL']
['ll', 'NULL']
['know', 'NULL']
['why', 'NULL']
['so', 'NULL']
['many', 'NULL']
['Jews', 'NORP']
['want', 'NULL']
['to', 'NULL']
['leave', 'NULL']
['Israel', 'NULL']
['Trust', 'NULL']
['me', 'NULL']
[' ', 'NULL']
['Marty', 'NULL']
[' ', 'NULL']
['it', 'NULL']
['is', 'NULL']
['over', 'NULL']
[' ', 'NULL']
['Sometime', 'NULL']
['during', 'NULL']
['the', 'NULL']
['last', 'NULL']
['year', 'NULL']
['or', 'NULL']
['two', 'NULL']
[' ', 'NULL']
['deep', 'NULL']
['in', 'NULL']
['the', 'NULL']
['secret', 'NULL']
['soul', 'NULL']
['of', 'NULL']
['Jews', 'NORP']
[' ', 'NULL']
['of', 'NULL']
['history', 'NULL']
[' ', 'NULL']
['of', 'NULL']
['the', 'NULL']
['world', 'NULL']
[' ', 'NULL']
['Zionism', 'NORP']
['died', 'NULL']
[' ', 'NULL']
['expired', 'NULL']
[' ', 'NULL']
['Zionists', 'NORP']
['will', 'NULL']
['continue', 'NULL']
['to', 'NULL']
['go', 'NULL']
['through', 'NULL']
['the', 'NULL']
['motions', 'NULL']
[' ', 'NULL']
['engage', 'NULL']
['in', 'NULL']
['angry', 'NULL']
['and', 'NULL']
['self', 'NULL']
['destructive', 'NULL']
['arguments', 'NULL']
['with', 'NULL']
['fellow', 'NULL']
['Americans', 'NULL']
['and', 'NULL']
['others', 'NULL']
['who', 'NULL']
['criticize', 'NULL']
['Israel', 'NULL']
[' ', 'NULL']
['you', 'NULL']
['know', 'NULL']
['the', 'NULL']
['whole', 'NULL']
['drill', 'NULL']
[' ', 'NULL']
['But', 'NULL']
['at', 'NULL']
['the', 'NULL']
['core', 'NULL']
[' ', 'NULL']
['the', 'NULL']
['ball', 'NULL']
['game', 'NULL']
['is', 'NULL']
['over', 'NULL']
[' ', 'NULL']
['The', 'NULL']
['more', 'NULL']
['that', 'NULL']
['Jews', 'NORP']
['get', 'NULL']
['locked', 'NULL']
['into', 'NULL']
['the', 'NULL']
['position', 'NULL']
['of', 'NULL']
['defending', 'NULL']
['a', 'NULL']
['state', 'NULL']
['they', 'NULL']
['don', 'NULL']
['t', 'NULL']
['want', 'NULL']
['to', 'NULL']
['live', 'NULL']
['in', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['don', 'NULL']
['t', 'NULL']
['even', 'NULL']
['believe', 'NULL']
['in', 'NULL']
[' ', 'NULL']
['the', 'NULL']
['more', 'NULL']
['pain', 'NULL']
['and', 'NULL']
['difficulty', 'NULL']
['they', 'NULL']
['are', 'NULL']
['going', 'NULL']
['to', 'NULL']
['cause', 'NULL']
['themselves', 'NULL']
['The', 'NULL']
['best', 'NULL']
['advice', 'NULL']
['anyone', 'NULL']
['could', 'NULL']
['give', 'NULL']
['to', 'NULL']
['Jews', 'NORP']
['who', 'NULL']
['really', 'NULL']
['cares', 'NULL']
['about', 'NULL']
['them', 'NULL']
['not', 'NULL']
['all', 'NULL']
['of', 'NULL']
['them', 'NULL']
[' ', 'NULL']
['to', 'NULL']
['be', 'NULL']
['sure', 'NULL']
[' ', 'NULL']
['but', 'NULL']
['some', 'NULL']
['of', 'NULL']
['them', 'NULL']
['is', 'NULL']
['to', 'NULL']
['begin', 'NULL']
['to', 'NULL']
['make', 'NULL']
['preparations', 'NULL']
['now', 'NULL']
['for', 'NULL']
['dissolving', 'NULL']
['the', 'NULL']
['state', 'NULL']
['of', 'NULL']
['Israel', 'NULL']
['that', 'NULL']
['are', 'NULL']
['maximally', 'NULL']
['advantageous', 'NULL']
['for', 'NULL']
['Israelis', 'NULL']
['and', 'NULL']
['Jews', 'NORP']
['in', 'NULL']
['general', 'NULL']
[' ', 'NULL']
['Once', 'NULL']
['that', 'NULL']
['is', 'NULL']
['accomplished', 'NULL']
[' ', 'NULL']
['then', 'NULL']
['sit', 'NULL']
['down', 'NULL']
['and', 'NULL']
['figure', 'NULL']
['out', 'NULL']
['why', 'NULL']
['you', 'NULL']
['keep', 'NULL']
['getting', 'NULL']
['suckered', 'NULL']
['in', 'NULL']
['by', 'NULL']
['self', 'NULL']
['destructive', 'NULL']
['messianic', 'NULL']
['movements', 'NULL']
[' ', 'NULL']
['and', 'NULL']
['then', 'NULL']
['fix', 'NULL']
['the', 'NULL']
['problem', 'NULL']
['through', 'NULL']
['some', 'NULL']
['form', 'NULL']
['of', 'NULL']
['cultural', 'NULL']
['self', 'NULL']
['analysis', 'NULL']
['and', 'NULL']
['psychotherapy', 'NULL']
